dwsim_object,cost_category,cost_type,size_variable_in_dwsim,notes
Pump,pump,centrifugal (default) / reciprocating / positive_displacement_rotary,Power Required (kW),"Pick the pump 'type' field that matches the service; default to centrifugal if unspecified, since it covers the vast majority of process pumps."
Compressor,compressor,centrifugal (default) / axial / reciprocating / rotary,Power Required (kW),"Centrifugal is the default for continuous gas compression; use reciprocating for high-pressure-ratio, low-flow duties."
Expander,turbine_expander,axial_gas_turbine_expander,Power Generated (kW),
Heater,heat_exchanger,fixed_tube_sheet (default),"Heat Added / Duty (kW) -> convert to area, see heat_exchanger.notes",Use 'fired_heater' approximate scaling instead (see equipment_without_verified_turton_correlation) if outlet temperature / duty indicates a process furnace rather than a utility exchanger.
Cooler,heat_exchanger,fixed_tube_sheet (default),"Heat Removed / Duty (kW) -> convert to area, see heat_exchanger.notes",
Heat Exchanger (general / shell & tube / plate),heat_exchanger,fixed_tube_sheet / u_tube / kettle_reboiler / double_pipe / multiple_pipe,"Calculated heat transfer area (m2), or UA and LMTD to back into area",Map DWSIM's plate-and-frame HX to 'multiple_pipe' as the closest available correlation if no dedicated plate-HX correlation is added later.
Valve,not_separately_costed,,,Conceptual-estimate practice is to fold control/block valve cost into the piping & instrumentation allowance (commonly 20-40% of total bare module cost) rather than cost each valve individually. Cost individually only if doing a detailed estimate with vendor quotes.
Pipe Segment / Pipe Network,not_separately_costed,,,"Piping is conventionally estimated as a percentage of purchased equipment cost (commonly 20-30% for fluid processes) rather than via a K1/K2/K3 correlation, because cost depends on plant layout/routing, not just diameter and length. If you want a length-based estimate anyway, use a $/m-by-nominal-diameter table from a vendor or cost-data handbook."
Orifice Plate,not_separately_costed,,,Instrumentation item; fold into the instrumentation cost allowance (commonly 5-15% of total bare module cost) rather than costing individually.
Separator Vessel (2-phase flash drum),vessel,horizontal or vertical (per your L/D orientation choice),Calculated vessel volume (m3) from flowsheet vapour/liquid flow + chosen residence time and L/D ratio,"DWSIM does not size the physical vessel itself — you must size the vessel (diameter, length, volume) from the converged stream flows using a residence-time/settling-velocity method (e.g. Souders-Brown for vapour-liquid), then feed the resulting volume into the vessel correlation."
Three-Phase Separator,vessel,horizontal (typical),"Calculated vessel volume (m3) — size as above, with boot volume for the second liquid phase added to the main volume",
Tank,vessel,vertical (typical for atmospheric storage) or horizontal,Volume (m3) from tank dimensions; set design pressure ~0 barg,
Distillation Column (rigorous) / Shortcut Column,vessel (shell) + tray (internals),vertical vessel + sieve or valve trays,"Shell: volume from calculated diameter x (Nt x tray spacing + disengagement allowance). Trays: tray area from diameter, Nt = number of stages from the converged column (or Fenske-Underwood-Gilliland N for the shortcut column).","Condenser and reboiler are normally separate DWSIM Cooler/Heater (or dedicated HX) objects in the flowsheet — cost them under 'heat_exchanger', not as part of the column itself, to avoid double counting. A kettle reboiler should use the 'kettle_reboiler' heat-exchanger type."
Simple / Refluxed / Reboiled Absorber,vessel (shell) + tray (internals),vertical vessel + sieve or valve trays,Same approach as Distillation Column above,
Conversion Reactor / Equilibrium Reactor / Gibbs Reactor,vessel,vertical (typical),Volume (m3) from assumed/specified residence time x volumetric throughput (DWSIM does not size these reactors mechanically — you must assume a residence time appropriate to the reaction),Add 'agitator' cost on top if the reactor is mechanically stirred (typical for liquid-phase CSTR-type duty); omit it for a reactor representing a fixed/packed bed or simple holding vessel.
CSTR,vessel + agitator,vertical vessel + turbine or impeller agitator,Vessel: Volume (m3) from specified residence time. Agitator: shaft power (kW) from an assumed power-per-unit-volume (commonly 0.5-3 kW/m3 for liquid blending/suspension duty — DWSIM does not calculate this directly).,
PFR (Plug Flow Reactor),vessel OR heat_exchanger(multiple_pipe),depends on construction,If modelled as a single large vessel: Volume (m3) directly from the reactor specification. If modelled as a jacketed/multitubular reactor needing close temperature control: cost as a 'multiple_pipe' heat exchanger using the total tube-side area instead.,"Choose based on what the PFR physically represents in your process, not the DWSIM model type."
Mixer (stream combiner),not_separately_costed,,,"This is a flow-combining logic block (a pipe tee in reality), not the agitator/impeller equipment category above. Negligible standalone capital cost."
Splitter,not_separately_costed,,,Flow-splitting logic block; negligible standalone capital cost.
Component Separator,depends_on_real_equipment_represented,,,"This is an idealised mass-balance shortcut (you specify split fractions directly) rather than a rate-based model of a real machine. It has no inherent cost correlation — decide what real equipment it is standing in for (e.g. a membrane unit, an absorber, a partial condenser) and cost THAT instead."
Solids Separator,see equipment_without_verified_turton_correlation,cyclone / filter / centrifuge,Solids mass flow (kg/h) or gas/liquid volumetric flow depending on the real equipment represented,"Like Component Separator, this is an idealised solids/liquid split. Identify the real solid-liquid (or solid-gas) separation device intended (cyclone, hydrocyclone, centrifuge, filter) and use the corresponding approximate correlation."
Continuous Cake Filter,see equipment_without_verified_turton_correlation,rotary vacuum / pressure filter,Filtration area (m2),
