category,type,material,FM_material_factor,FBM_bare_module_factor,bare_module_method
pump,centrifugal,Fe_cast_iron,1.0,,standard
pump,centrifugal,CS_carbon_steel,1.6,,standard
pump,centrifugal,SS_stainless_steel,2.3,,standard
pump,centrifugal,Ni_nickel_alloy,4.4,,standard
pump,reciprocating,Fe_cast_iron,1.0,,standard
pump,reciprocating,CS_carbon_steel,1.5,,standard
pump,reciprocating,SS_stainless_steel,2.4,,standard
pump,reciprocating,Ni_nickel_alloy,4.0,,standard
pump,reciprocating,Ti_titanium,6.5,,standard
pump,positive_displacement_rotary,Fe_cast_iron,1.0,,standard
pump,positive_displacement_rotary,CS_carbon_steel,1.4,,standard
pump,positive_displacement_rotary,SS_stainless_steel,2.7,,standard
pump,positive_displacement_rotary,Ni_nickel_alloy,4.7,,standard
pump,positive_displacement_rotary,Ti_titanium,10.7,,standard
compressor,centrifugal,CS_carbon_steel,,2.8,material_lookup_pressure_independent
compressor,centrifugal,SS_stainless_steel,,5.8,material_lookup_pressure_independent
compressor,centrifugal,Ni_nickel_alloy,,11.5,material_lookup_pressure_independent
compressor,axial,CS_carbon_steel,,3.8,material_lookup_pressure_independent
compressor,axial,SS_stainless_steel,,8.0,material_lookup_pressure_independent
compressor,axial,Ni_nickel_alloy,,15.9,material_lookup_pressure_independent
compressor,reciprocating,CS_carbon_steel,,3.4,material_lookup_pressure_independent
compressor,reciprocating,SS_stainless_steel,,7.0,material_lookup_pressure_independent
compressor,reciprocating,Ni_nickel_alloy,,13.9,material_lookup_pressure_independent
compressor,rotary,CS_carbon_steel,,2.4,material_lookup_pressure_independent
compressor,rotary,SS_stainless_steel,,5.0,material_lookup_pressure_independent
compressor,rotary,Ni_nickel_alloy,,9.9,material_lookup_pressure_independent
turbine_expander,axial_gas_turbine_expander,CS_carbon_steel,,3.5,material_lookup_pressure_independent
turbine_expander,axial_gas_turbine_expander,SS_stainless_steel,,6.1,material_lookup_pressure_independent
turbine_expander,axial_gas_turbine_expander,Ni_nickel_alloy,,11.7,material_lookup_pressure_independent
heat_exchanger,fixed_tube_sheet,CS/CS,1.0,,standard
heat_exchanger,u_tube,CS/CS,1.0,,standard
heat_exchanger,kettle_reboiler,CS/CS,1.0,,standard
heat_exchanger,double_pipe,CS/CS,1.0,,standard
heat_exchanger,multiple_pipe,CS/CS,1.0,,standard
heat_exchanger,fixed_tube_sheet,CS/SS,1.8,,standard
heat_exchanger,u_tube,CS/SS,1.8,,standard
heat_exchanger,kettle_reboiler,CS/SS,1.8,,standard
heat_exchanger,double_pipe,CS/SS,1.8,,standard
heat_exchanger,multiple_pipe,CS/SS,1.8,,standard
heat_exchanger,fixed_tube_sheet,SS/SS,2.9,,standard
heat_exchanger,u_tube,SS/SS,2.9,,standard
heat_exchanger,kettle_reboiler,SS/SS,2.9,,standard
heat_exchanger,double_pipe,SS/SS,2.9,,standard
heat_exchanger,multiple_pipe,SS/SS,2.9,,standard
heat_exchanger,fixed_tube_sheet,CS/Ni,2.8,,standard
heat_exchanger,u_tube,CS/Ni,2.8,,standard
heat_exchanger,kettle_reboiler,CS/Ni,2.8,,standard
heat_exchanger,double_pipe,CS/Ni,2.8,,standard
heat_exchanger,multiple_pipe,CS/Ni,2.8,,standard
heat_exchanger,fixed_tube_sheet,Ni/Ni,3.8,,standard
heat_exchanger,u_tube,Ni/Ni,3.8,,standard
heat_exchanger,kettle_reboiler,Ni/Ni,3.8,,standard
heat_exchanger,double_pipe,Ni/Ni,3.8,,standard
heat_exchanger,multiple_pipe,Ni/Ni,3.8,,standard
heat_exchanger,fixed_tube_sheet,CS/Ti,4.6,,standard
heat_exchanger,u_tube,CS/Ti,4.6,,standard
heat_exchanger,kettle_reboiler,CS/Ti,4.6,,standard
heat_exchanger,double_pipe,CS/Ti,4.6,,standard
heat_exchanger,multiple_pipe,CS/Ti,4.6,,standard
heat_exchanger,fixed_tube_sheet,Ti/Ti,11.4,,standard
heat_exchanger,u_tube,Ti/Ti,11.4,,standard
heat_exchanger,kettle_reboiler,Ti/Ti,11.4,,standard
heat_exchanger,double_pipe,Ti/Ti,11.4,,standard
heat_exchanger,multiple_pipe,Ti/Ti,11.4,,standard
vessel,horizontal,CS_carbon_steel,1.0,,standard_with_vessel_pressure_factor
vessel,vertical,CS_carbon_steel,1.0,,standard_with_vessel_pressure_factor
vessel,horizontal,SS_stainless_steel,3.1,,standard_with_vessel_pressure_factor
vessel,vertical,SS_stainless_steel,3.1,,standard_with_vessel_pressure_factor
vessel,horizontal,Ni_nickel_alloy,7.1,,standard_with_vessel_pressure_factor
vessel,vertical,Ni_nickel_alloy,7.1,,standard_with_vessel_pressure_factor
vessel,horizontal,Ti_titanium,9.4,,standard_with_vessel_pressure_factor
vessel,vertical,Ti_titanium,9.4,,standard_with_vessel_pressure_factor
tray,sieve,CS_carbon_steel,1.0,,FBM_equals_material_factor
tray,sieve,SS_stainless_steel,1.8,,FBM_equals_material_factor
tray,sieve,Ni_nickel_alloy,5.6,,FBM_equals_material_factor
tray,valve,CS_carbon_steel,1.0,,FBM_equals_material_factor
tray,valve,SS_stainless_steel,1.8,,FBM_equals_material_factor
tray,valve,Ni_nickel_alloy,5.6,,FBM_equals_material_factor
tray,demister,SS_stainless_steel,1.0,,FBM_equals_material_factor
tray,demister,FC_fluorocarbon,1.8,,FBM_equals_material_factor
tray,demister,Ni_nickel_alloy,5.6,,FBM_equals_material_factor
agitator,impeller,ALL,,1.38,constant
agitator,propeller,ALL,,1.38,constant
agitator,turbine,ALL,,1.38,constant
